Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
7079,220901431-211,2,62.34,35,53.19,-2.39,-8.38,0.85,5.01,4.72,125.54,6.54,1
7080,220901401-311,3,67.05,20,54.72,-1.99,-8.88,-0.46,5.01,4.6,129.39,6.53,1
7081,220901112-111,1,58.05,84,46.99,-2.53,-7.57,-0.54,5.13,4.78,142.8,7.51,1
7082,220901341-311,3,66.89,45,57.59,-2.63,-8.07,-0.4,4.92,4.47,133.64,7,1
7083,220901051-212,2,55.15,21,48.09,-2.4,-6.77,-0.72,4.39,4.06,123.6,6.51,1
7084,220901121-413,4,57.3,46,47.8,-3.17,-7.97,-0.83,5.19,4.87,159.25,7.53,1
7085,220901201-312,3,62.79,33,53.28,-2.1,-7.59,-0.53,4.53,4.72,128.1,6.83,1
7086,220901211-311,3,61.71,63,51.84,-2.52,-7.7,-0.12,4.85,4.84,128.96,6.03,1
7087,220901442-212,2,60.79,20,51.01,-3.21,-8.69,-0.92,4.57,4.5,128.25,6.8,1
7088,220901151-212,2,62.37,37,53.37,-2.78,-8.14,-0.86,5.34,4.59,125.6,6.53,1
7089,220901071-111,1,60.65,26,49.62,-1.97,-6.52,-0.83,5.19,4.87,124.36,6.04,1
7090,220901253-111,1,53.26,24,44.24,-1.8,-5.66,0.38,4.52,4.43,136.78,6.8,1
7091,220901411-412,4,65.86,19,54.67,-2.18,-9.22,-1.38,5.59,5.18,116.79,6.39,1
7092,220901421-711,7,59.99,45,48.99,-1.75,-6.92,-0.04,5.17,4.53,128.91,7.03,1
7093,220901001-512,5,65.83,30,51.29,-2.25,-9.04,-0.55,4.59,3.97,138.42,7.51,1
7094,220901391-411,4,69.65,71,55.4,-3.09,-9.79,-0.88,4.81,4.58,126.48,6.51,1
7095,220900972-211,2,76.77,69,64.1,-3.32,-9.45,-1.28,4.97,4.39,121.63,6.53,1
7096,220901181-212,2,59.17,28,49.39,-1.95,-7.01,-0.77,5.08,4.75,128.91,6.53,1
7097,220801322-811,8,61.04,68,50.17,-2.67,-7.57,-0.41,3.65,3.73,138.82,7.06,1
7098,220901131-311,3,63.46,30,51.94,-3.27,-8.07,-0.43,4.9,4.46,137.66,7,1
7099,220901031-213,2,83.48,27,70.44,-4.35,-10.7,-0.46,4.85,4.95,131.06,7.52,1
7100,220901261-512,5,61.12,16,52.25,-2.08,-5.84,-0.36,4.45,4.51,129.39,6.54,1
7101,220901221-412,4,68.29,18,52.09,-3.05,-9.53,-0.33,5,5.12,129.21,6.7,1
7102,220901081-411,4,62.58,35,51.62,-2.96,-9.17,-0.06,4.8,4.63,129.64,6.52,1
7103,220901191-114,1,53.88,46,44.8,-2.52,-7.36,-0.58,5.36,4.42,132.85,6.53,1
7104,220901011-614,6,62.01,22,52.46,-3.47,-7.59,-0.75,3.76,3.71,140.67,8.3,1
7105,220901161-612,6,62.98,31,49.53,-2.61,-8.91,-0.84,5.69,4.56,122.76,6.86,1
7106,220801292-811,8,63.75,82,52.77,-2.39,-7.41,-0.26,5.15,4.59,135.43,7,1
